source,target,distance,weight
13,30,4100.450649579717,0.18435460661281736
13,27,4438.942317132156,0.16033702712625267
14,15,1108.4835521158554,0.6331151137513606
14,23,1301.152642785446,0.5847601214013418
14,34,1372.278417312668,0.5678581939241303
14,25,1488.768030437295,0.5412250349538548
14,32,1717.8514496591138,0.4924379723155075
15,32,1102.9462124211439,0.6345624339300138
15,14,1108.4835521158554,0.6331151137513606
15,34,1213.1088868442782,0.6063807758730503
15,23,1682.3546599499514,0.49969916346646553
15,25,2196.6553836627886,0.40420619929439333
16,40,2907.4868234190803,0.30150936706671805
16,39,3113.6780119635696,0.2769326842089597
16,38,3527.6859912875507,0.23346936377641764
16,47,4862.215483086383,0.1346573978013918
16,19,5305.891315578413,0.11214314028764631
17,42,995.0175831301065,0.6634423628485713
17,18,1231.070888866566,0.6019059350115431
17,45,1303.7581819573832,0.5841321687480134
17,24,1356.8637375225883,0.5714792918733705
17,37,1412.2274129886673,0.5585801100377379
18,24,776.7642880091162,0.7259220439492212
18,17,1231.070888866566,0.6019059350115431
18,37,1787.9125202924447,0.4784145291883165
18,42,2017.0929056858142,0.4352719209849696
18,45,2054.0801665158,0.4286833707670197
19,28,991.1206726755196,0.6645093457400075
19,29,1786.070962713338,0.4787779747845699
19,47,1869.0074661126946,0.46268043989228147
19,20,2094.0854795319196,0.4216694345346783
19,16,5305.891315578413,0.11214314028764631
20,47,543.4162940389634,0.7992452545677909
20,29,2007.7221516767074,0.43695715181664213
20,19,2094.0854795319196,0.4216694345346783
20,28,2367.9029980426194,0.37664689304324755
20,16,5375.20403091645,0.10898320150091749
21,41,390.1644752996185,0.8513846116784652
21,25,771.6210575042661,0.7274632880928624
21,36,1178.5690669040775,0.6150793256604983
21,23,1434.5093535726148,0.5534711839826064
21,14,2044.0155064796443,0.430466250837604
22,21,3056.7395180912326,0.2835118909602238
22,25,3121.0093254804083,0.27609672607107927
22,41,3159.6854321324568,0.27172824748936153
22,23,3242.9317963021645,0.2625586142657001
22,44,3472.33205516132,0.2388598670748596
23,25,665.7883621588232,0.7599142055880751
23,34,713.4656939452756,0.7451197464869689
23,14,1301.152642785446,0.5847601214013418
23,32,1314.1773976058867,0.5816277996446173
23,21,1434.5093535726148,0.5534711839826064
24,18,776.7642880091162,0.7259220439492212
24,17,1356.8637375225883,0.5714792918733705
24,42,2329.9363678235095,0.3825901624675664
24,37,2390.130849890636,0.37321030197880267
24,45,2521.1485662842674,0.3535816993856461
25,23,665.7883621588232,0.7599142055880751
25,21,771.6210575042661,0.7274632880928624
25,41,1158.308936942079,0.6202396100895176
25,34,1376.5069532845716,0.5668688753215865
25,14,1488.768030437295,0.5412250349538548
26,12,3039.739840030134,0.2855063261562419
26,11,3247.1138659002704,0.2621062087029384
26,27,3643.8540988494806,0.22254890321265247
26,0,3900.1345548621916,0.20022966591455682
26,39,4268.703923016003,0.17199731497608808
27,30,1400.0026594022074,0.5614030753219633
27,12,2110.253281153083,0.41886748057085676
27,10,2651.2077834093866,0.3351178730763362
27,26,3643.8540988494806,0.22254890321265247
27,46,3938.2988907472,0.19710316872821368
28,19,991.1206726755196,0.6645093457400075
28,29,1075.4257219541487,0.6418048255477663
28,47,2366.432040496464,0.37687542718325234
28,20,2367.9029980426194,0.37664689304324755
28,16,6292.229823472258,0.0746672643733383
29,28,1075.4257219541487,0.6418048255477663
29,19,1786.070962713338,0.4787779747845699
29,20,2007.7221516767074,0.43695715181664213
29,47,2253.2523200208398,0.3948817618667455
29,16,6806.935493354417,0.060388197434284384
30,27,1400.0026594022074,0.5614030753219633
