caso,tipo_adyacencia,modelo,best_epoch,best_val_loss,test_loss,test_mae,test_rmse,test_mape,tiempo_segundos,tiempo_minutos,tiempo_horas
proximidad_comportamiento_500,correlacion,GAT_LSTM,25,0.0100590720179892,0.0096528592328152,0.0501747615635395,0.098248966038227,7.926133,1683.6044561862946,28.06,0.47
proximidad_sentido_v1_50,cercania,GCN_LSTM,25,0.0087812290901137,0.0096346588855773,0.0570346526801586,0.0981562957167625,8.144169,561.7490422725677,9.36,0.16
proximidad_sentido_v1_50,cercania,GCN_GRU,25,0.0088962329631465,0.0097266504284557,0.0588579662144184,0.0986237823963165,8.354894,561.0001487731934,9.35,0.16
proximidad_sentido_v1_50,cercania,GAT_LSTM,24,0.0100372272131556,0.0107603589447034,0.0585181750357151,0.1037321463227272,8.514335,863.6425976753235,14.39,0.24
proximidad_sentido_v2_50,cercania,GCN_GRU,25,0.0101186854335948,0.0107409113189773,0.059764202684164,0.1036383658647537,8.648,464.051411151886,7.73,0.13
proximidad_sentido_v2_50,cercania,GCN_LSTM,25,0.0104643216327202,0.0111739971563556,0.065199427306652,0.1057071313261985,9.130599,467.15219926834106,7.79,0.13
proximidad_50,cercania,GCN_GRU,21,0.0097949728506362,0.0111659394059977,0.0647426098585128,0.1056690067052841,9.235275,418.3254570960999,6.97,0.12
proximidad_comportamiento_50,correlacion,GCN_GRU,25,0.0107222311703265,0.0097100140493253,0.0613456703722476,0.0985394045710563,9.378513,431.3647811412811,7.19,0.12
proximidad_sentido_v2_50,cercania,GAT_LSTM,25,0.0114408239888334,0.0122470625152739,0.0647475197911262,0.1106664463877677,9.421013,754.5745329856873,12.58,0.21
proximidad_50,cercania,GCN_LSTM,25,0.0118089768968303,0.0134085232715708,0.0632535964250564,0.1157951802015304,9.6161995,439.9724922180176,7.33,0.12
proximidad_50,cercania,GAT_LSTM,24,0.0110552381770369,0.0125832615891139,0.06892029941082,0.1121751442551612,9.887709,665.4213552474976,11.09,0.18
proximidad_comportamiento_50,correlacion,GCN_LSTM,25,0.0125450551316444,0.0118815032470946,0.0745691806077957,0.1090023070573806,11.190284,428.66628408432007,7.14,0.12
proximidad_comportamiento_50,correlacion,GAT_LSTM,25,0.0143491398610393,0.0139652871932523,0.0716737285256385,0.1181748136878013,11.707256,711.4711620807648,11.86,0.2
proximidad_comportamiento_500,cercania,GCN_GRU,25,0.0187344847764172,0.0186782951801006,0.0885209888219833,0.1366685628890991,13.317856,1236.8332271575928,20.61,0.34
proximidad_comportamiento_500,cercania,GAT_LSTM,23,0.0204560307041651,0.0203542969658399,0.094444140791893,0.1426684856414795,14.2285185,1683.2136034965515,28.05,0.47
proximidad_comportamiento_500,cercania,GCN_LSTM,25,0.0202989794574593,0.0201828153698829,0.105607733130455,0.1420662403106689,15.146823,1188.8930625915527,19.81,0.33
proximidad_comportamiento_50,cercania,GCN_LSTM,25,0.0294331236244189,0.0298340538470389,0.1308715045452118,0.1727253794670105,20.56992,428.1431791782379,7.14,0.12
proximidad_comportamiento_50,cercania,GCN_GRU,25,0.029946297344081,0.0303900335110202,0.133693054318428,0.1743273735046386,20.942339,432.4374372959137,7.21,0.12
proximidad_comportamiento_50,cercania,GAT_LSTM,25,0.0308492700264496,0.0313260495393593,0.1332098692655563,0.176991656422615,21.183783,713.1670544147491,11.89,0.2
