source,target,weight
73,14,0.4041787862539554
73,134,0.4018909520715432
74,467,0.4626911927458539
74,429,0.42063269528677016
74,1,0.41346864515605297
74,36,0.4129755057615354
74,446,0.40621972006917223
75,1,0.5634215498934194
75,111,0.5204689841744851
75,242,0.5187939668217914
75,371,0.5051777470204468
75,52,0.5017242543219083
76,1,0.25595738725174544
76,371,0.24537859242691845
76,374,0.2400719844879742
76,441,0.23932206486209906
76,409,0.23489639589238787
77,1,0.5484088169261072
77,3,0.4971971126032366
77,441,0.48617000543927485
77,52,0.4854484499648539
77,14,0.4846623809277056
78,1,0.6646338386373344
78,111,0.598677890205438
78,3,0.5862379491307536
78,97,0.5844543089403411
78,227,0.5337340423704511
79,109,0.19793213151340922
79,107,0.15993709880372342
79,126,0.15678860314438112
79,279,0.14933968038216971
79,128,0.14176334393617981
80,216,0.44937547968048897
80,389,0.40078668952876195
80,282,0.3946228275527805
80,221,0.37966400902762354
80,336,0.345925137732271
81,121,0.30942201007339315
81,254,0.300551273558127
81,0,0.28006375924254745
81,78,0.2749054246387907
81,303,0.2681761300806764
82,87,0.19513906520830895
82,435,0.1640435232169925
82,425,0.13762856402949653
82,109,0.11919103422637509
82,324,0.11882513806073822
83,101,0.5450140844813386
83,442,0.5418787467858694
83,340,0.45444258861218756
83,47,0.29799738761568867
83,346,0.2918936758443687
84,1,0.5536647493583245
84,44,0.5351863281322199
84,111,0.5300562996037619
84,294,0.5261844626575978
84,97,0.5108281535904311
85,404,0.2491402328434026
85,113,0.22718037020394516
85,395,0.19649130952361218
85,447,0.1710683461416777
85,53,0.12449477254735365
86,1,0.2259383877680631
86,111,0.20467290104999844
86,14,0.2035759899624858
86,227,0.1977180420491667
86,47,0.1952858452628318
87,341,0.440613628001929
87,183,0.38571881632858934
87,435,0.38446620136708465
87,342,0.36944564447099393
87,425,0.3558699693580466
88,44,0.5551776268963038
88,95,0.4976048068163911
88,1,0.48886234800544653
88,111,0.4753214119143839
88,374,0.46142027498704147
89,44,0.13450670574667226
89,285,0.12723198845961145
89,122,0.12304274330671469
89,88,0.11008934135017341
89,90,0.10722643765517272
90,451,0.2728463291347542
90,128,0.27165024853528097
90,279,0.2613111884963547
90,109,0.24556633403874706
90,356,0.2333520068133891
91,128,0.3154258858031813
91,304,0.30942002952155945
91,107,0.27556549313412243
91,104,0.2673137298901887
91,154,0.265025790917953
92,44,0.2178984257043969
92,84,0.2071444403852187
92,100,0.20554993322171144
92,442,0.19217502116238205
92,97,0.1880112522614368
93,411,0.3539299119305173
93,391,0.3432073867678298
93,183,0.34184663424276657
93,3,0.3337750586074644
93,44,0.3269964959336488
94,286,0.1596606548653347
94,143,0.12270919484879801
94,102,0.10276206005070468
94,169,0.09807702408495712
94,0,0.09780780923156382
95,88,0.4976048068163911
95,384,0.4666244701666593
95,374,0.4622161966257261
95,251,0.4338618920074419
95,52,0.4072358303124676
96,128,0.20643035104315183
96,104,0.20250001227017964
96,222,0.19185052277450032
96,107,0.18162093378468824
96,324,0.17655717838240675
97,1,0.7378172668511169
97,111,0.6886026894354654
97,3,0.6833313580059539
